run,focal_site,plant,category,candidates,deterministic,expected,sd,share
B-uniform,Rocky coastal 1,Helichrysum stoechas,possibly forbidden,46,27,11.315276737471095,2.7811593692998637,0.24598427690154553
B-uniform,Rocky coastal 1,Helichrysum stoechas,possibly missing,46,1,2.5240757548401898,1.5269913176820502,0.05487121206174326
B-uniform,Rocky coastal 1,Helichrysum stoechas,recurrent,46,2,2.4576441807184133,1.4440923113853332,0.05342704740692203
B-uniform,Rocky coastal 1,Helichrysum stoechas,weakly-supported,46,6,7.631791484527568,2.405350970277026,0.16590851053320801
B-uniform,Rocky coastal 1,Lonicera implexa,locally absent,46,1,12.845484970031302,3.022510413373776,0.27924967326155004
B-uniform,Rocky coastal 1,Lonicera implexa,locally unique,46,0,0.8518877321437811,0.9080530270326982,0.018519298524864808
B-uniform,Rocky coastal 1,Lonicera implexa,model-elusive,46,1,5.049039387555694,2.086945619648256,0.10976172581642812
B-uniform,Rocky coastal 1,Lonicera implexa,phantom,46,3,2.2146296214163725,1.4249970657404742,0.04814412220470375
B-uniform,Rocky coastal 1,Lonicera implexa,possibly forbidden,46,41,16.440024803128917,3.2197624255747748,0.3573918435462808
B-uniform,Rocky coastal 1,Lonicera implexa,possibly missing,46,0,1.7176337495657459,1.2683003323077469,0.03733986412099448
B-uniform,Rocky coastal 1,Lonicera implexa,recurrent,46,0,0.7064753322847763,0.8267648007589048,0.015358159397495137
B-uniform,Rocky coastal 1,Lonicera implexa,weakly-supported,46,0,6.17482440387341,2.303395809940532,0.13423531312768283
B-uniform,Rocky coastal 1,Ruta chalepensis,locally absent,46,1,12.579312895026018,2.9936820762783958,0.27346332380491345
B-uniform,Rocky coastal 1,Ruta chalepensis,locally unique,46,0,1.0204486653862959,0.9836029305808773,0.02218366663883252
B-uniform,Rocky coastal 1,Ruta chalepensis,model-elusive,46,0,5.137706667365684,2.111689215393042,0.11168927537751487
B-uniform,Rocky coastal 1,Ruta chalepensis,phantom,46,2,2.1758189486390087,1.4202805535036298,0.047300411926934974
B-uniform,Rocky coastal 1,Ruta chalepensis,possibly forbidden,46,41,16.10191667174306,3.1910177410338942,0.35004166677702303
B-uniform,Rocky coastal 1,Ruta chalepensis,possibly missing,46,0,1.6945084269162503,1.264950956031915,0.036837139715570656
B-uniform,Rocky coastal 1,Ruta chalepensis,recurrent,46,1,0.9071054501295701,0.9131952884897219,0.019719683698468916
B-uniform,Rocky coastal 1,Ruta chalepensis,weakly-supported,46,1,6.383182274794118,2.322960686882745,0.1387648320607417
B-uniform,Rocky coastal 1,Salvia rosmarinus,locally absent,46,2,12.3759746001389,2.968453695202225,0.2690429260899761
B-uniform,Rocky coastal 1,Salvia rosmarinus,locally unique,46,1,1.1532894820073438,1.0331092435795493,0.025071510478420517
B-uniform,Rocky coastal 1,Salvia rosmarinus,model-elusive,46,1,5.4532253123915915,2.141238304650377,0.11854837635633894
B-uniform,Rocky coastal 1,Salvia rosmarinus,phantom,46,1,2.211769968466078,1.4338064624951152,0.04808195583621908
B-uniform,Rocky coastal 1,Salvia rosmarinus,possibly forbidden,46,39,15.435936440618594,3.137732460743224,0.3355638356656216
B-uniform,Rocky coastal 1,Salvia rosmarinus,possibly missing,46,1,1.8616597312827536,1.3162118220377843,0.04047086372353812
