run,model_as,phi,top_category,top_conf,det_conf,focal_site,pollinator,plant,Y,O_l,n,R,camera,det_category,recurrent,locally unique,possibly missing,phantom,model-elusive,weakly-supported,locally absent,possibly forbidden
B-degree,prior,0.15236707715527553,possibly forbidden,0.7634999655734396,0.7634999655734396,Pine forest 2,Episyrphus balteatus,Globularia alypum,0,0,0,1,0,possibly forbidden,2.0415645307140238e-4,0.0012572292985856685,0.013662015482963993,0.08413295727128485,0.0018527037435401305,0.011409256934745787,0.12398171524236867,0.7634999655734396
B-degree,prior,0.8713208669069274,locally absent,0.6859072933357747,0.6859072933357747,Pine forest 2,Eristalis similis,Asphodelus fistulosus,0,0,1,1,NA,locally absent,0.007153211978997632,0.0011210858858861324,0.13514408896830046,0.021180433509889077,0.036305252450384025,0.005689934287584451,0.6859072933357747,0.10749869958318353
B-degree,prior,0,possibly forbidden,0.7792331311149565,0.7792331311149565,Pine forest 2,Eristalis similis,Blackstonia perfoliata,0,0,0,0,0,possibly forbidden,0,0,0,0.22076686888504346,0,0,0,0.7792331311149565
B-degree,prior,0.9978449949812653,recurrent,0.7632281348552694,0.7632281348552694,Pine forest 2,Eristalis similis,Cistus monspeliensis,1,1,1,1,1,recurrent,0.7632281348552694,0.014176047782164419,0.10228545510380303,0.0018998297268573686,0.10251285119262889,0.0019040533366451336,0.013738452710754506,2.55175291877302e-4
B-degree,prior,0,possibly forbidden,0.8588775248647996,0,Pine forest 2,Eristalis similis,Fumana ericoides,0,1,0,0,0,weakly-supported,0,0,0,0.1411224751352004,0,0,0,0.8588775248647996
B-degree,prior,0.1656207709489158,possibly forbidden,0.6227966256989125,0.6227966256989125,Pine forest 2,Eristalis similis,Globularia alypum,0,0,0,2,0,possibly forbidden,7.226064354432441e-4,0.00411423957946905,0.03716141169150035,0.21158260335217172,0.0021270030832983983,0.012110327062879176,0.10938518309632557,0.6227966256989125
B-degree,prior,0.5960785627866768,locally absent,0.48080811401599416,0.3731692986716109,Pine forest 2,Exoprosopa cf. bowdeni,Asphodelus fistulosus,0,0,0,1,NA,possibly forbidden,0.0032426593774441625,0.0025167231800740943,0.03962243889525013,0.03075213854171229,0.0393488382627579,0.030539789055156332,0.48080811401599416,0.3731692986716109
B-degree,prior,0,possibly forbidden,0.9158393224028736,0.9158393224028736,Pine forest 2,Exoprosopa cf. bowdeni,Blackstonia perfoliata,0,0,0,0,NA,possibly forbidden,0,0,0,0.08416067759712642,0,0,0,0.9158393224028736
B-degree,prior,0.9997405574716421,recurrent,0.6585826174488472,0.6585826174488472,Pine forest 2,Exoprosopa cf. bowdeni,Cistus monspeliensis,1,1,1,1,NA,recurrent,0.6585826174488472,0.0026405372164157656,0.045759422987767355,1.8346894709879853e-4,0.27271579629024784,0.00109343336816021,0.018948750160203753,7.59735812591022e-5
B-degree,prior,0,possibly forbidden,0.8403345528899141,0.8403345528899141,Pine forest 2,Exoprosopa cf. bowdeni,Fumana ericoides,0,0,0,0,NA,possibly forbidden,0,0,0,0.1596654471100859,0,0,0,0.8403345528899141
